Text,Keywords,Sentiment
Mate60遥遥领先#遥遥领先式出圈,"['遥遥领先', '出圈', 'Mate60']","[0.25725769996643066, 0.7427423000335693]"
终于抢到了，还以为今天又陪跑了在华为商城抢不到，没想到京东抢到了，我妹妹也特别厉害，抢到了青色，虽然颜色也不错，但是不是最理想的那个机型，只能含泪退款了,"['抢到', '退款', '华为', '京东', '含泪']","[0.247580423951149, 0.7524195909500122]"
这手机拍照不太行啊,"['太行', '拍照', '手机']","[0.2585001587867737, 0.7414997816085815]"
遙遙領先～～今天10.準時,"['遙遙', '領先', '10', '準時', '今天']","[0.2489197850227356, 0.7510801553726196]"
60pro，紫色怎么样？有在用紫色的朋友吗？华为店里通知我到货一台紫色，不知道好不好看？,"['紫色', '60pro', '到货', '华为', '好不好']","[0.2737601697444916, 0.726239800453186]"
别人是遥遥领先，我是遥遥无期,"['遥遥无期', '遥遥领先', '别人']","[0.2671512961387634, 0.7328487634658813]"
Pro512白沙银四川终于发货,"['Pro512', '发货', '白沙', '四川', '终于']","[0.27048999071121216, 0.7295100092887878]"
华为mate40p到现在已经三年时间了，放在今天来看依旧是颜值巅峰，估计现现在还留存着大量的mate40用户吧。从荣耀v10接触华为手机，后面p40promate40pro。光是mate40pro我自己两年多时间就用了三部（因为漂亮国的原因，华为后续的旗舰都差点意思）。mate60系列携麒麟归来，我想我又能修到大量的mate展开c,"['华为', 'mate40p', '颜值', 'mate40', 'v10']","[0.31310784816741943, 0.6868921518325806]"
华为mate40p到现在已经三年时间了，放在今天来看依旧是颜值巅峰，估计现现在还留存着大量的mate40用户吧。从荣耀v10接触华为手机，后面p40promate40pro。光是mate40pro我自己两年多时间就用了三部（因为漂亮国的原因，华为后续的旗舰都差点意思）。mate60系列携麒麟归来，我想我又能修到大量的mate旗舰了华为2重庆收起d,"['华为', '旗舰', 'mate40p', '颜值', 'mate40']","[0.32577428221702576, 0.6742256879806519]"
Mate60遥遥领先#,"['Mate60', '遥遥领先']","[0.3059808909893036, 0.6940191388130188]"
遥遥领先,['遥遥领先'],"[0.20758002996444702, 0.7924199104309082]"
2保定·保定学院,"['保定', '学院']","[0.2943718731403351, 0.7056280970573425]"
猫猫有多可爱，不用我多说吧，看看系列手机拍摄的这些萌猫照片，每一张都俏皮可爱，萌动人心。？来看看我的相册吧！,"['可爱', '萌猫', '猫猫', '萌动', '看看']","[0.23692686855793, 0.7630731463432312]"
这个秋天的美好，不只落叶给的，还有猫猫给的！用Pro抓住猫猫的各种可爱瞬间，和猫猫一起软萌入秋！一起感受下,"['猫猫', 'Pro', '软萌', '入秋', '一起']","[0.2147749364376068, 0.7852250337600708]"
不好意思，领先一步ps：一个多月前的手机壳终于用上了,"['ps', '一个多月', '不好意思', '领先', '手机']","[0.26359862089157104, 0.736401379108429]"
华为MATE60上的昆仑玻璃，凭什么可以站在C位？L小喃来了探索版的微博视频,"['MATE60', '小喃来', '微博', '华为', '昆仑']","[0.26491308212280273, 0.735086977481842]"
打不过，就加入,"['加入', '不过']","[0.24493198096752167, 0.7550680041313171]"
慕士塔格峰下的守候华为Mate60pro拍摄很多人去看慕士塔格峰都会选在喀拉库勒湖。但其实我更推荐在喀拉库勒湖前1km左右的湿地去拍摄，那里人少，另外一方面前景的选择也是很多的。这次提前拿到Mate60pro来这里拍摄，给了我很大的惊喜，影像方面特别是色彩这块有了很大的提高。展开c,"['库勒湖', '慕士塔格峰', 'Mate60pro', '拍摄', '喀拉']","[0.24601143598556519, 0.7539886236190796]"
慕士塔格峰下的守候华为Mate60pro拍摄很多人去看慕士塔格峰都会选在喀拉库勒湖。但其实我更推荐在喀拉库勒湖前1km左右的湿地去拍摄，那里人少，另外一方面前景的选择也是很多的。这次提前拿到Mate60pro来这里拍摄，给了我很大的惊喜，影像方面特别是色彩这块有了很大的提高。@微博手机影像年收起d,"['库勒湖', '慕士塔格峰', 'Mate60pro', '拍摄', '喀拉']","[0.2602006196975708, 0.7397993803024292]"
纤毫毕现，萌态可掬。拿起系列，轻松捕捉萌宠的可爱瞬间，用镜头记录每个温情陪伴画面。2邢台,"['萌态', '可掬', '萌宠', '纤毫', '毕现']","[0.3067466616630554, 0.6932533383369446]"
抢不到一点，被活活气死，好几个平台都一个时间点……这不就是等黄牛抢的吗？？？？？,"['气死', '黄牛', '活活', '好几个', '平台']","[0.2785227298736572, 0.7214773297309875]"
没抢到啊啊啊啊！,['啊啊啊'],"[0.29107666015625, 0.7089232802391052]"
遥遥领先你妈啊,['遥遥领先'],"[0.2793046236038208, 0.7206953763961792]"
不可思议，mate60从头到脚90%的元器件都是国产！不管是从屏幕到芯片，还是细致到一些小零部件，华为能用国产的地方通通用国产。目前唯一还没有彻底解决的技术可能就是相机主摄还要用索尼或者三星的，其他技术堡垒基本上已经被我们国产厂商攻破了。你可以说mate60这台手机有啥缺点，但是你如果去黑展开c,"['国产', 'mate60', '90%', '主摄', '从头到脚']","[0.336971253156662, 0.6630287766456604]"
不可思议，mate60从头到脚90%的元器件都是国产！不管是从屏幕到芯片，还是细致到一些小零部件，华为能用国产的地方通通用国产。目前唯一还没有彻底解决的技术可能就是相机主摄还要用索尼或者三星的，其他技术堡垒基本上已经被我们国产厂商攻破了。你可以说mate60这台手机有啥缺点，但是你如果去黑它确实就不厚道了。收起d,"['国产', 'mate60', '90%', '主摄', '厚道']","[0.2646270990371704, 0.7353729605674744]"
▌|@华为终端PixLabV1和PixLabX1，你的打印伴侣！多种设备轻松打印，只需简单操作，省时又省心。🔘Pro13.2：一拉一拽，打印超快；🔘XPro：自动弹窗，一“印”俱全；🔘Pro+：随时随地，想印就印。📍智能展开c,"['打印', 'PixLabV1', 'PixLabX1', 'Pro13.2', '一拉一']","[0.233107790350914, 0.7668921947479248]"
▌|@华为终端PixLabV1和PixLabX1，你的打印伴侣！多种设备轻松打印，只需简单操作，省时又省心。🔘Pro13.2：一拉一拽，打印超快；🔘XPro：自动弹窗，一“印”俱全；🔘Pro+：随时随地，想印就印。📍智能定位1F具体信息请详询店内收起d,"['打印', 'PixLabV1', 'PixLabX1', 'Pro13.2', '一拉一']","[0.24752631783485413, 0.7524736523628235]"
教程｜Mate60的摄像头8大隐藏玩法！学会效率UP！💥1️⃣表格扫描：能把纸制表格瞬间还原为电子版，正确率喜人！非常强👍💥2️⃣语言翻译：翻译的字会直接呈现在识别的图片上。英翻中，准确率颇高。日翻中还差强人意。其他语言希望有小伙伴评论区给个参考，感谢🙏3️⃣文档扫描：基础功能不展开c,"['表格', '扫描', '翻译', '正确率', '语言']","[0.34433072805404663, 0.6556692719459534]"
